Approach,Recall,Precision
TRIAD-VSM,1,00,0,0148
IR-ONLY-VSM,0,05,0,3559
IR-ONLY-VSM,0,10,0,2985
IR-ONLY-VSM,0,15,0,2362
IR-ONLY-VSM,0,20,0,1885
IR-ONLY-VSM,0,25,0,1542
IR-ONLY-VSM,0,30,0,1232
IR-ONLY-VSM,0,35,0,1113
IR-ONLY-VSM,0,40,0,0871
IR-ONLY-VSM,0,45,0,0724
IR-ONLY-VSM,0,50,0,0629
IR-ONLY-VSM,0,55,0,0493
IR-ONLY-VSM,0,60,0,0440
IR-ONLY-VSM,0,65,0,0384
IR-ONLY-VSM,0,70,0,0296
IR-ONLY-VSM,0,75,0,0271
IR-ONLY-VSM,0,80,0,0260
IR-ONLY-VSM,0,85,0,0230
IR-ONLY-VSM,0,90,0,0230
IR-ONLY-VSM,0,95,0,0172
IR-ONLY-VSM,1,00,0,0149
TRIAD-VSM,0,05,0,3559
TRIAD-VSM,0,10,0,2958
TRIAD-VSM,0,15,0,2351
TRIAD-VSM,0,20,0,1806
TRIAD-VSM,0,25,0,1513
TRIAD-VSM,0,30,0,1263
TRIAD-VSM,0,35,0,1051
TRIAD-VSM,0,40,0,0914
TRIAD-VSM,0,45,0,0765
TRIAD-VSM,0,50,0,0645
TRIAD-VSM,0,55,0,0551
TRIAD-VSM,0,60,0,0455
TRIAD-VSM,0,65,0,0381
TRIAD-VSM,0,70,0,0318
TRIAD-VSM,0,75,0,0271
TRIAD-VSM,0,80,0,0255
TRIAD-VSM,0,85,0,0227
TRIAD-VSM,0,90,0,0227
TRIAD-VSM,0,95,0,0171
TRIAD-VSM,1,00,0,0148
IR-ONLY-VSM,0,05,0,3559
IR-ONLY-VSM,0,10,0,2985
IR-ONLY-VSM,0,15,0,2362
IR-ONLY-VSM,0,20,0,1885
IR-ONLY-VSM,0,25,0,1542
IR-ONLY-VSM,0,30,0,1232
IR-ONLY-VSM,0,35,0,1113
IR-ONLY-VSM,0,40,0,0871
IR-ONLY-VSM,0,45,0,0724
IR-ONLY-VSM,0,50,0,0629
IR-ONLY-VSM,0,55,0,0493
IR-ONLY-VSM,0,60,0,0440
IR-ONLY-VSM,0,65,0,0384
IR-ONLY-VSM,0,70,0,0296
IR-ONLY-VSM,0,75,0,0271
IR-ONLY-VSM,0,80,0,0260
IR-ONLY-VSM,0,85,0,0230
IR-ONLY-VSM,0,90,0,0230
IR-ONLY-VSM,0,95,0,0172
IR-ONLY-VSM,1,00,0,0149
TRIAD-VSM,0,05,0,3559
TRIAD-VSM,0,10,0,2958
TRIAD-VSM,0,15,0,2351
TRIAD-VSM,0,20,0,1806
TRIAD-VSM,0,25,0,1513
TRIAD-VSM,0,30,0,1263
TRIAD-VSM,0,35,0,1051
TRIAD-VSM,0,40,0,0914
TRIAD-VSM,0,45,0,0765
