Approach,Recall,Precision
TRIAD-VSM,1,00,0,0515
IR-ONLY-LSI,0,05,1,0000
IR-ONLY-LSI,0,10,1,0000
IR-ONLY-LSI,0,15,1,0000
IR-ONLY-LSI,0,20,1,0000
IR-ONLY-LSI,0,25,0,5217
IR-ONLY-LSI,0,30,0,5185
IR-ONLY-LSI,0,35,0,4250
IR-ONLY-LSI,0,40,0,3673
IR-ONLY-LSI,0,45,0,2391
IR-ONLY-LSI,0,50,0,2300
IR-ONLY-LSI,0,55,0,2093
IR-ONLY-LSI,0,60,0,2093
IR-ONLY-LSI,0,65,0,1975
IR-ONLY-LSI,0,70,0,1667
IR-ONLY-LSI,0,75,0,1667
IR-ONLY-LSI,0,80,0,1602
IR-ONLY-LSI,0,85,0,1061
IR-ONLY-LSI,0,90,0,1049
IR-ONLY-LSI,0,95,0,0801
IR-ONLY-LSI,1,00,0,0670
IR-ONLY-VSM,0,05,1,0000
IR-ONLY-VSM,0,10,1,0000
IR-ONLY-VSM,0,15,0,8889
IR-ONLY-VSM,0,20,0,6667
IR-ONLY-VSM,0,25,0,5417
IR-ONLY-VSM,0,30,0,5385
IR-ONLY-VSM,0,35,0,5313
IR-ONLY-VSM,0,40,0,4878
IR-ONLY-VSM,0,45,0,4565
IR-ONLY-VSM,0,50,0,2907
IR-ONLY-VSM,0,55,0,2907
IR-ONLY-VSM,0,60,0,2755
IR-ONLY-VSM,0,65,0,1890
IR-ONLY-VSM,0,70,0,1860
IR-ONLY-VSM,0,75,0,1036
IR-ONLY-VSM,0,80,0,1036
IR-ONLY-VSM,0,85,0,0997
IR-ONLY-VSM,0,90,0,0802
IR-ONLY-VSM,0,95,0,0510
IR-ONLY-VSM,1,00,0,0510
TRIAD-VSM,0,05,1,0000
TRIAD-VSM,0,10,1,0000
TRIAD-VSM,0,15,0,8889
TRIAD-VSM,0,20,0,8182
TRIAD-VSM,0,25,0,7000
TRIAD-VSM,0,30,0,7000
TRIAD-VSM,0,35,0,6333
TRIAD-VSM,0,40,0,6333
TRIAD-VSM,0,45,0,6286
TRIAD-VSM,0,50,0,5909
TRIAD-VSM,0,55,0,5909
TRIAD-VSM,0,60,0,5192
TRIAD-VSM,0,65,0,3333
TRIAD-VSM,0,70,0,2370
TRIAD-VSM,0,75,0,1717
TRIAD-VSM,0,80,0,1481
TRIAD-VSM,0,85,0,1022
TRIAD-VSM,0,90,0,1022
TRIAD-VSM,0,95,0,0982
TRIAD-VSM,1,00,0,0515
IR-ONLY-VSM,0,05,1,0000
IR-ONLY-VSM,0,10,1,0000
IR-ONLY-VSM,0,15,0,8889
IR-ONLY-VSM,0,20,0,6667
IR-ONLY-VSM,0,25,0,5417
IR-ONLY-VSM,0,30,0,5385
IR-ONLY-VSM,0,35,0,5313
IR-ONLY-VSM,0,40,0,4878
IR-ONLY-VSM,0,45,0,4565
IR-ONLY-VSM,0,50,0,2907
IR-ONLY-VSM,0,55,0,2907
IR-ONLY-VSM,0,60,0,2755
IR-ONLY-VSM,0,65,0,1890
IR-ONLY-VSM,0,70,0,1860
IR-ONLY-VSM,0,75,0,1036
IR-ONLY-VSM,0,80,0,1036
IR-ONLY-VSM,0,85,0,0997
IR-ONLY-VSM,0,90,0,0802
IR-ONLY-VSM,0,95,0,0510
IR-ONLY-VSM,1,00,0,0510
TRIAD-VSM,0,05,1,0000
TRIAD-VSM,0,10,1,0000
TRIAD-VSM,0,15,0,8889
TRIAD-VSM,0,20,0,8182
TRIAD-VSM,0,25,0,7000
TRIAD-VSM,0,30,0,7000
TRIAD-VSM,0,35,0,6333
TRIAD-VSM,0,40,0,6333
TRIAD-VSM,0,45,0,6286
TRIAD-VSM,0,50,0,5909
TRIAD-VSM,0,55,0,5909
TRIAD-VSM,0,60,0,5192
TRIAD-VSM,0,65,0,3333
TRIAD-VSM,0,70,0,2370
TRIAD-VSM,0,75,0,1717
TRIAD-VSM,0,80,0,1481
